2020-04-16 15:04:12.838 INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.jackie.replace.ReplaceApplicationTests], using SpringBootContextLoader
2020-04-16 15:04:12.846 INFO  org.springframework.test.context.support.AbstractContextLoader Could not detect default resource locations for test class [com.jackie.replace.ReplaceApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-04-16 15:04:12.847 INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils Could not detect default configuration classes for test class [com.jackie.replace.ReplaceApplicationTests]: ReplaceApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-04-16 15:04:12.990 INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper Found @SpringBootConfiguration com.jackie.replace.ReplaceApplication for test class com.jackie.replace.ReplaceApplicationTests
2020-04-16 15:04:13.279 INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-04-16 15:04:13.297 INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@48b67364, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@189cbd7c, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7bf3a5d8, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@42e25b0b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@39b43d60, org.springframework.test.context.event.EventPublishingTestExecutionListener@44be0077, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2205a05d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@72ef8d15, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6aa8e115, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5e21e98f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@51a9ad5e]
2020-04-16 15:04:13.775 INFO  com.jackie.replace.ReplaceApplicationTests Starting ReplaceApplicationTests on DESKTOP-JQ1HOMA with PID 28364 (started by Administrator in E:\replace_azure_config)
2020-04-16 15:04:13.776 INFO  com.jackie.replace.ReplaceApplicationTests No active profile set, falling back to default profiles: default
2020-04-16 15:04:15.874 INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Initializing ExecutorService 'applicationTaskExecutor'
2020-04-16 15:04:16.303 INFO  com.jackie.replace.ReplaceApplicationTests Started ReplaceApplicationTests in 2.952 seconds (JVM running for 5.116)
2020-04-16 15:04:16.646 INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Shutting down ExecutorService 'applicationTaskExecutor'
